"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"47","USGS","01491000",1986-11-28,"10:45",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"7","9","J",NA,"00618",NA,0.763,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-11-28 15:45:00,NA,"UTC"
"48","USGS","01491000",1986-12-04,"10:15",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"7","9","J",NA,"00618",NA,0.994,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-12-04 15:15:00,NA,"UTC"
"49","USGS","01491000",1986-12-04,"10:20",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"7","5","J",NA,"00618",NA,0.994,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-12-04 15:20:00,NA,"UTC"
"50","USGS","01491000",1986-12-17,"09:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.5,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-12-17 14:30:00,NA,"UTC"
"51","USGS","01491000",1986-12-29,"11:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"5","9","9",NA,"00618",NA,1.4,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1986-12-29 16:30:00,NA,"UTC"
"52","USGS","01491000",1987-01-02,"00:00",1987-01-05,"10:30","T","USGS-WRD","WS","442400310",NA,NA,NA,"7","H","J",NA,"00618",NA,1,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-01-02 05:00:00,1987-01-05 15:30:00,"UTC"
"53","USGS","01491000",1987-01-02,"12:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"8","9","J",NA,"00618",NA,1.3,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-01-02 17:30:00,NA,"UTC"
"54","USGS","01491000",1987-01-03,"13:15",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"5","9","J",NA,"00618",NA,0.77,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-01-03 18:15:00,NA,"UTC"
"55","USGS","01491000",1987-01-14,"10:15",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.6,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-01-14 15:15:00,NA,"UTC"
"56","USGS","01491000",1987-01-19,"19:00",1987-01-22,"05:00","T","USGS-WRD","WS","442400310",NA,NA,NA,"7","H","J","RERUNS:KJD-N,DIS=1.6,TOT=1.1","00618",NA,1.19,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-01-20 00:00:00,1987-01-22 10:00:00,"UTC"
"57","USGS","01491000",1987-01-20,"14:15",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"7","9","J",NA,"00618",NA,1.09,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-01-20 19:15:00,NA,"UTC"
"58","USGS","01491000",1987-01-21,"11:45",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"5","9","J",NA,"00618",NA,1.1,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-01-21 16:45:00,NA,"UTC"
"59","USGS","01491000",1987-02-11,"10:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"5","9","9",NA,"00618",NA,1.5,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-02-11 15:30:00,NA,"UTC"
"60","USGS","01491000",1987-02-19,"11:45",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.8,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-02-19 16:45:00,NA,"UTC"
"61","USGS","01491000",1987-03-01,"11:00",1987-03-03,"09:30","T","USGS-WRD","WS","442400310",NA,NA,NA,"5","9","9",NA,"00618",NA,0.96,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-03-01 16:00:00,1987-03-03 14:30:00,"UTC"
"62","USGS","01491000",1987-03-04,"13:15",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"5","9","9",NA,"00618",NA,1.1,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-03-04 18:15:00,NA,"UTC"
"63","USGS","01491000",1987-03-26,"11:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.2,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-03-26 16:00:00,NA,"UTC"
"64","USGS","01491000",1987-03-31,"09:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.9,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-03-31 14:30:00,NA,"UTC"
"65","USGS","01491000",1987-04-13,"11:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.86,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-04-13 16:30:00,NA,"UTC"
"66","USGS","01491000",1987-04-21,"11:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.97,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-04-21 16:30:00,NA,"UTC"
"67","USGS","01491000",1987-04-27,"11:45",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.78,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-04-27 16:45:00,NA,"UTC"
"68","USGS","01491000",1987-04-27,"11:50",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","5","9",NA,"00618",NA,0.79,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-04-27 16:50:00,NA,"UTC"
"69","USGS","01491000",1987-05-07,"11:20",NA,NA,"T","USGS-WRD","WS","442400300",NA,NA,NA,"9","9","9",NA,"00618",NA,0.661,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-05-07 16:20:00,NA,"UTC"
"70","USGS","01491000",1987-05-13,"11:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.76,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-05-13 16:00:00,NA,"UTC"
"71","USGS","01491000",1987-06-12,"10:30",NA,NA,"T","USGS-WRD","WS","442400310","112PLSC",NA,NA,"9","9","9",NA,"00618",NA,0.84,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-06-12 15:30:00,NA,"UTC"
"72","USGS","01491000",1987-06-25,"11:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,0.93,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-06-25 16:00:00,NA,"UTC"
"73","USGS","01491000",1987-08-04,"10:00",NA,NA,"T","USGS-WRD","WS","442400300",NA,NA,NA,"4","9","9",NA,"00618",NA,0.99,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-08-04 15:00:00,NA,"UTC"
"74","USGS","01491000",1987-08-11,"10:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"4","9","9",NA,"00618",NA,0.227,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-08-11 15:00:00,NA,"UTC"
"75","USGS","01491000",1987-08-28,"10:00",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"9","9","9",NA,"00618",NA,1.4,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-08-28 15:00:00,NA,"UTC"
"76","USGS","01491000",1987-09-11,"13:45",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"4","9","9",NA,"00618",NA,1.1,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-09-11 18:45:00,NA,"UTC"
"77","USGS","01491000",1987-09-11,"13:50",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"4","5","9",NA,"00618",NA,1.1,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-09-11 18:50:00,NA,"UTC"
"78","USGS","01491000",1987-10-14,"12:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"4","9","9",NA,"00618",NA,1.3,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-10-14 17:30:00,NA,"UTC"
"79","USGS","01491000",1987-10-28,"12:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"7","9","J",NA,"00618",NA,0.95,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-10-28 17:30:00,NA,"UTC"
"80","USGS","01491000",1987-11-17,"10:30",NA,NA,"T","USGS-WRD","WS","442400310",NA,NA,NA,"4","9","9",NA,"00618",NA,0.897,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1987-11-17 15:30:00,NA,"UTC"
